	Checking relation	zoek.pl?lemma=Checking+relation&lemmacode=1550	SYNTAX
	Checking theory	zoek.pl?lemma=Checking+theory&lemmacode=1559	SYNTAX
	Circumfix	zoek.pl?lemma=Circumfix&lemmacode=868	MORPHOLOGY
Class I affix: see	Class I/II affix	zoek.pl?lemma=Class+I/II+affix	PHONOLOGY/MORPHOLOGY
	Class I/II affix	zoek.pl?lemma=Class+I/II+affix&lemmacode=869	PHONOLOGY/MORPHOLOGY
Class II affix: see	Class I/II affix	zoek.pl?lemma=Class+I/II+affix	PHONOLOGY/MORPHOLOGY
	Clause union	zoek.pl?lemma=Clause+union&lemmacode=870	SYNTAX
	Cleft	zoek.pl?lemma=Cleft&lemmacode=871	SYNTAX
	Click detection	zoek.pl?lemma=Click+detection&lemmacode=1370	PHONETICS
	Clicks	zoek.pl?lemma=Clicks&lemmacode=1149	PHONOLOGY/PHONETICS
	Clipping	zoek.pl?lemma=Clipping&lemmacode=872	MORPHOLOGY
	Clitic	zoek.pl?lemma=Clitic&lemmacode=873	MORPHOLOGY/SYNTAX
	Clitic Climbing	zoek.pl?lemma=Clitic+Climbing&lemmacode=874	SYNTAX
	Clitic Doubling	zoek.pl?lemma=Clitic+Doubling&lemmacode=875	SYNTAX
	Cliticization	zoek.pl?lemma=Cliticization&lemmacode=876	MORPHOLOGY/SYNTAX
	Closed syllable	zoek.pl?lemma=Closed+syllable&lemmacode=877	PHONOLOGY
Closed under extension: see	Upward monotonicity	zoek.pl?lemma=Upward+monotonicity	SEMANTICS
Closed under inclusion: see	Downward monotonicity	zoek.pl?lemma=Downward+monotonicity	SEMANTICS
	Co-analysis	zoek.pl?lemma=Co-analysis&lemmacode=880	MORPHOLOGY/SYNTAX
	Co-articulation	zoek.pl?lemma=Co-articulation&lemmacode=881	PHONOLOGY/PHONETICS
	Cochlea	zoek.pl?lemma=Cochlea&lemmacode=1150	PHONETICS
	Cochlear implant	zoek.pl?lemma=Cochlear+implant&lemmacode=1371	PHONETICS
	Cocktail party effect	zoek.pl?lemma=Cocktail+party+effect&lemmacode=1151	PHONETICS
	Coda	zoek.pl?lemma=Coda&lemmacode=1609	PHONOLOGY
	Coda	zoek.pl?lemma=Coda&lemmacode=1613	PHONOLOGY
	Cohort model	zoek.pl?lemma=Cohort+model&lemmacode=1152	PHONETICS
Coindexed: see	Coindexing	zoek.pl?lemma=Coindexing	SYNTAX
	Coindexing	zoek.pl?lemma=Coindexing&lemmacode=882	SYNTAX
	Co-intrinsic characteristics	zoek.pl?lemma=Co-intrinsic+characteristics&lemmacode=1153	PHONETICS
Collective noun: see	Mass noun	zoek.pl?lemma=Mass+noun	SEMANTICS
	Collective predicate	zoek.pl?lemma=Collective+predicate&lemmacode=884	SEMANTICS
Command: see	C-command	zoek.pl?lemma=C-command	SYNTAX
Comment: see	Topic-comment-distinction	zoek.pl?lemma=Topic-comment-distinction	SEMANTICS
	COMP	zoek.pl?lemma=COMP&lemmacode=887	SYNTAX
	Comparative	zoek.pl?lemma=Comparative&lemmacode=888	MORPHOLOGY
	Complement	zoek.pl?lemma=Complement&lemmacode=889	SYNTAX
	Complement domain	zoek.pl?lemma=Complement+domain&lemmacode=890	SYNTAX
	Complementary distribution	zoek.pl?lemma=Complementary+distribution&lemmacode=891	GENERAL
	Complementary distribution	zoek.pl?lemma=Complementary+distribution&lemmacode=891	PHONOLOGY
	Complementizer	zoek.pl?lemma=Complementizer&lemmacode=892	SYNTAX
	Complementizer deletion	zoek.pl?lemma=Complementizer+deletion&lemmacode=893	SYNTAX
	Complete Functional Complex	zoek.pl?lemma=Complete+Functional+Complex&lemmacode=894	SYNTAX
Complex Noun Phrase Condition: see	Complex NP Constraint	zoek.pl?lemma=Complex+NP+Constraint	SYNTAX
